p,kappa,estimator_variant,r_f_mean,r_f_std,mae_b_mean,mae_b_std,fallback_weight_mean
0.15,3.5,fixed_q_0.1,3.220156534227544,0.279182757077556,1.174846907229539,0.0640681186757409,
0.15,3.5,fixed_q_0.2,2.5231443879544595,0.22984841840055054,0.7209289688071212,0.07347679305789946,
0.15,3.5,fixed_q_0.3,2.03622299519214,0.1802415095921127,0.36340505076365204,0.08118441312844069,
0.15,3.5,oracle_aqf,1.600916444790111,0.14551296553633553,0.05696759709462444,0.036422430214751146,
0.15,4.0,estimated_aqf,1.5874269096822924,0.10432810947148989,0.0820676082704872,0.06085293324956218,1.0
0.15,4.0,fixed_q_0.1,3.144065080115495,0.30578243760723717,1.1792337350402202,0.11868669021283722,
0.15,4.0,fixed_q_0.2,2.467939057927388,0.2172882013259896,0.7150822525215741,0.09591871099855213,
0.15,4.0,fixed_q_0.3,2.010433769117783,0.17745846619104688,0.3568871720814551,0.11155404937803513,
0.15,4.0,oracle_aqf,1.5863360495075307,0.12083513348987471,0.08215738678514421,0.06470683185278885,
0.15,4.5,estimated_aqf,1.5136892198556404,0.10548786965322382,0.07006517810168855,0.04905514696235386,1.0
0.15,4.5,fixed_q_0.1,2.8407108669350785,0.30916097981483537,1.138038210996862,0.09136002841562993,
0.15,4.5,fixed_q_0.2,2.280943793518387,0.25545841622358695,0.7033781515075865,0.08937711795720082,
0.15,4.5,fixed_q_0.3,1.8947277911057494,0.18329276938358952,0.3670775687373477,0.088553174901219,
0.15,4.5,oracle_aqf,1.5214462878066413,0.1319743672020584,0.07574919146849642,0.048139055575225354,
0.15,5.0,estimated_aqf,1.4673835613021053,0.11500061144860836,0.06596518447006536,0.042499859766334726,1.0
0.15,5.0,fixed_q_0.1,2.6748289722997227,0.34340141789337053,1.154941369900082,0.1069115455389737,
0.15,5.0,fixed_q_0.2,2.1487342659184834,0.2744038868496161,0.7016956437955545,0.08016186412137317,
0.15,5.0,fixed_q_0.3,1.8070500060757688,0.19562617750364072,0.37137730382431994,0.08273314843412506,
0.15,5.0,oracle_aqf,1.4707474653777184,0.1374771650181874,0.06739862365102356,0.05398307938727709,
0.25,0.5,estimated_aqf,6.867620958172944,0.70945634473549,0.5864634315665045,0.07914377049644579,0.5753204106159348
0.25,0.5,fixed_q_0.1,10.728415458191707,0.9615078135337518,1.1645840556992968,0.08079057780592512,
0.25,0.5,fixed_q_0.2,7.744817479079835,0.6886939607463133,0.7276881824923194,0.06397813773106939,
0.25,0.5,fixed_q_0.3,5.823633728109539,0.6270646927003336,0.40764378300960447,0.0751933568802116,
0.25,0.5,oracle_aqf,3.781471652846727,0.40676603100088354,0.05163879876628315,0.035745216511450795,
0.25,1.0,estimated_aqf,3.5988070405021304,0.34418345032098097,0.5016185794857175,0.11026804734775285,0.5460195318275047
0.25,1.0,fixed_q_0.1,5.670868814376233,0.4425747145724281,1.1223035511764923,0.11656546990003153,
0.25,1.0,fixed_q_0.2,4.083021510596365,0.356793352128953,0.657828607042429,0.09025153727221713,
0.25,1.0,fixed_q_0.3,3.0354807666559065,0.2426603788339575,0.310344823202832,0.07521668454699537,
0.25,1.0,oracle_aqf,2.1898169806129846,0.1987428298502612,0.05372105608513191,0.05433242986618708,
0.25,1.5,estimated_aqf,2.5789947850633403,0.3004950647476427,0.38831665856100095,0.0980822025163384,0.6278260149418491
0.25,1.5,fixed_q_0.1,4.233568729717402,0.5297523557377625,1.119489580117408,0.08972855489493888,
0.25,1.5,fixed_q_0.2,3.117996733077935,0.43282266208832304,0.6419500019207025,0.10109841702187264,
0.25,1.5,fixed_q_0.3,2.37378682203954,0.30589538840475533,0.28270555359620336,0.10006392484386739,
0.25,1.5,oracle_aqf,1.86564002826865,0.26001576619580646,0.08000186068028814,0.049026036431251994,
0.25,2.0,estimated_aqf,1.8955452764824383,0.1528993903252838,0.21964733213594254,0.07991045923678483,0.7431673546739457
0.25,2.0,fixed_q_0.1,3.3373797264798784,0.36954828836585824,1.1008588795211167,0.09096074899898049,
0.25,2.0,fixed_q_0.2,2.505442942250933,0.23880328933232772,0.620297217616696,0.06386767221617808,
0.25,2.0,fixed_q_0.3,1.939727085410666,0.19386604863557141,0.2478986134282361,0.06533206951190455,
0.25,2.0,oracle_aqf,1.6059163792279048,0.16101298721552948,0.055640666273191995,0.03140098536722525,
0.25,2.5,estimated_aqf,1.633151418571082,0.15445661650108183,0.13727876777082626,0.10070630152088525,0.8834093735848155
0.25,2.5,fixed_q_0.1,2.9013220318371786,0.26997604724586455,1.1247473556819452,0.10170153197011271,
0.25,2.5,fixed_q_0.2,2.2199098625159635,0.17849912633258752,0.6312268720566354,0.08501525022417794,
0.25,2.5,fixed_q_0.3,1.787505876804723,0.15288751571339368,0.2719214032009066,0.0827636018874796,
0.25,2.5,oracle_aqf,1.5110840653625235,0.13444837149649513,0.07067218614823415,0.05346840508151634,
0.25,3.0,estimated_aqf,1.4129571455933494,0.07655583846982243,0.0659711291462676,0.05552551182282664,1.0
0.25,3.0,fixed_q_0.1,2.5025659192798155,0.16120084150821384,1.08078460876446,0.08982380683165968,
0.25,3.0,fixed_q_0.2,1.973096784126368,0.13382839561228974,0.6110612082659534,0.08618137652304197,
0.25,3.0,fixed_q_0.3,1.596663667453231,0.08938195257024636,0.2339145248264245,0.06915431082347036,
0.25,3.0,oracle_aqf,1.391224853191468,0.07989071419497452,0.057973291993294665,0.050039753478204614,
0.25,3.5,estimated_aqf,1.351080420648607,0.04515408307870774,0.06304901412156774,0.041792677046429354,1.0
0.25,3.5,fixed_q_0.1,2.380339861786129,0.161600155385827,1.1200519511113707,0.10711873497104604,
0.25,3.5,fixed_q_0.2,1.892261249676557,0.09689806386336348,0.6340642131945795,0.07269473360288821,
0.25,3.5,fixed_q_0.3,1.5529950663841903,0.07104820689369497,0.2506187581374144,0.06213844692865936,
0.25,3.5,oracle_aqf,1.3523671700475117,0.055011452106963905,0.05605127474804128,0.054090835376021516,
0.25,4.0,estimated_aqf,1.3021525848202973,0.058909994456210854,0.07029471175285922,0.04630158795138731,1.0
0.25,4.0,fixed_q_0.1,2.2038912048642914,0.2025546957313192,1.120873249211726,0.08252129173455178,
0.25,4.0,fixed_q_0.2,1.7328702282756674,0.13081047600842877,0.577811824417691,0.08632992772742584,
0.25,4.0,fixed_q_0.3,1.45989881093977,0.09274717617740294,0.21734030586818803,0.07063705862830502,
0.25,4.0,oracle_aqf,1.2978495497548606,0.07737584432432638,0.06298339763014313,0.049260964384688924,
0.25,4.5,estimated_aqf,1.2657273827418531,0.038490738118175195,0.06347591234182763,0.04726613177379276,1.0
0.25,4.5,fixed_q_0.1,2.038309744753238,0.07883700528269101,1.1486981838334824,0.08974553031650553,
0.25,4.5,fixed_q_0.2,1.6849762809142734,0.05035564612678601,0.6814193317728082,0.04882736568786491,
0.25,4.5,fixed_q_0.3,1.4234900255133178,0.047369891493208104,0.28750762223339754,0.0687122022890162,
0.25,4.5,oracle_aqf,1.2668213000934088,0.044153912283606114,0.06113320003032383,0.052733954011194115,
0.25,5.0,estimated_aqf,1.2407481415307404,0.05083815403282399,0.05845875560639184,0.040022268679273845,1.0
0.25,5.0,fixed_q_0.1,1.9102758577209489,0.13235780472227424,1.0906450215452244,0.08966507374224578,
0.25,5.0,fixed_q_0.2,1.5854869736943358,0.07776904673669992,0.6104054334663128,0.08108279619528769,
