scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p06_k01,0.65,1.0,14,fixed_q_0.2,0.2,9.647029675882532,1.659493598299055,0.352970324117468,,,,
p06_k01,0.65,1.0,14,fixed_q_0.3,0.3,9.962651557577493,1.2636942383668373,0.03734844242250723,,,,
p06_k01,0.65,1.0,14,oracle_aqf,0.2781259150554471,9.858798080370104,1.3864353350772423,0.14120191962989637,,,,
p06_k01,0.65,1.0,14,estimated_aqf,0.21973607164445125,9.772070997921746,1.4949151932563545,0.22792900207825362,0.5709122850933813,1.9782200234375897,1.3988127932517307,0.6994063966258653
p06_k01,0.65,1.0,15,fixed_q_0.1,0.1,9.391647591107464,2.063259125119324,0.6083524088925358,,,,
p06_k01,0.65,1.0,15,fixed_q_0.2,0.2,9.787211406727021,1.544457300548608,0.21278859327297894,,,,
p06_k01,0.65,1.0,15,fixed_q_0.3,0.3,10.061504003351981,1.2294547659580948,0.06150400335198114,,,,
p06_k01,0.65,1.0,15,oracle_aqf,0.2781259150554471,9.97098895594237,1.3288924225028926,0.02901104405762922,,,,
p06_k01,0.65,1.0,15,estimated_aqf,0.2602862537175022,9.925955495789493,1.3796964175797222,0.0740445042105069,0.4219653949697056,1.3478023458085713,0.9530401784203768,0.4765200892101884
p06_k01,0.65,1.0,16,fixed_q_0.1,0.1,9.182019516908744,2.497911703432898,0.8179804830912563,,,,
p06_k01,0.65,1.0,16,fixed_q_0.2,0.2,9.589646647832902,1.9279911392338953,0.4103533521670979,,,,
p06_k01,0.65,1.0,16,fixed_q_0.3,0.3,10.05163659389159,1.3676999422421616,0.051636593891590366,,,,
p06_k01,0.65,1.0,16,oracle_aqf,0.2781259150554471,9.932581183464041,1.5053339506905679,0.06741881653595883,,,,
p06_k01,0.65,1.0,16,estimated_aqf,0.2522060108427574,9.80560209727309,1.657203947971094,0.1943979027269105,0.4748553345411387,2.039387023195202,1.442064393565174,0.721032196782587
p06_k01,0.65,1.0,17,fixed_q_0.1,0.1,9.224191863156538,2.4705605973985514,0.7758081368434624,,,,
